feature,importance
review_len,0.31511279807949144
hips,0.1694863789074974
size,0.11969470243504692
bra size,0.09655806704617097
quality,0.06556416640380436
cup size_c,0.021565493761900374
length_slightly long,0.020709766792874302
cup size_d,0.020410251487977205
category_tops,0.018678754649985498
cup size_dd_e,0.018619228079575573
cup size_b,0.01679406619068596
category_new,0.016380441779283248
category_dresses,0.01625147589379471
length_very long,0.015001211336939506
length_slightly short,0.013402153323294958
cup size_ddd_f,0.01291358477853121
category_outerwear,0.010242150614038999
category_sale,0.00803539076189162
length_very short,0.00718658058927094
cup size_dddd_g,0.006855629347886671
cup size_h,0.004452785716926266
cup size_j,0.001393832368891787
cup size_aa,0.0013344414182721437
cup size_i,0.001211253978981192
category_wedding,0.0011656305081413508
cup size_k,0.0009797637488455889
